timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-12-03,142.8,142.92,141.34,141.45,120.044574479,124385047,0.0000,1.0
2012-11-30,142.14,142.42,141.66,142.15,120.638644483,136298627,0.0000,1.0
2012-11-29,141.99,142.51,141.37,142.12,120.61318434,150798733,0.0000,1.0
2012-11-28,139.76,141.54,139.0,141.46,120.053061193,176637479,0.0000,1.0
2012-11-27,140.91,141.39,140.24,140.33,119.094062472,127850321,0.0000,1.0
2012-11-26,140.65,141.36,140.19,141.05,119.705105905,99649879,0.0000,1.0
2012-11-23,140.13,141.4,140.04,141.35,119.959707335,65409145,0.0000,1.0
2012-11-21,139.31,139.57,139.03,139.45,118.347231609,81542659,0.0000,1.0
2012-11-20,138.91,139.42,138.08,139.19,118.126577036,119410788,0.0000,1.0
2012-11-19,137.9,139.15,136.41,139.13,118.07565675,151289828,0.0000,1.0
2012-11-16,135.9,136.64,134.7,136.37,115.733323589,239316080,0.0000,1.0
2012-11-15,135.98,136.49,135.18,135.7,115.164713728,177963481,0.0000,1.0
2012-11-14,138.21,138.43,135.62,135.93,115.359908158,191349976,0.0000,1.0
2012-11-13,137.54,139.25,137.36,137.79,116.938437027,122818991,0.0000,1.0
2012-11-12,138.59,138.81,137.96,138.27,117.345799315,97301953,0.0000,1.0
2012-11-09,137.62,139.44,137.55,138.16,117.252445458,200950904,0.0000,1.0
2012-11-08,139.7,140.41,137.93,138.04,117.150604885,181351566,0.0000,1.0
2012-11-07,141.66,141.68,139.06,139.72,118.576372896,263929703,0.0000,1.0
2012-11-06,142.28,143.52,142.13,142.96,121.326068346,106563909,0.0000,1.0
2012-11-05,141.35,142.17,140.93,141.85,120.384043053,98318459,0.0000,1.0
2012-11-02,143.68,143.72,141.41,141.56,120.137928337,137651914,0.0000,1.0
2012-11-01,141.65,143.01,141.52,142.83,121.215741059,100929973,0.0000,1.0
2012-10-31,141.85,142.03,140.68,141.35,119.959707335,103253290,0.0000,1.0
2012-10-26,141.3,141.84,140.39,141.35,119.959707335,146001865,0.0000,1.0
2012-10-25,142.02,142.28,140.57,141.43,120.02760105,134167644,0.0000,1.0
